split,image,manual_count,imagej_count,difference,absolute_error,review_regions
train,25A1-18_S001.jpg,20,21,1,1,0
train,25A1-18_S003.jpg,28,28,0,0,0
train,25A1-18_S004.jpg,22,14,-8,8,0
train,25A1-19_S001.jpg,15,15,0,0,0
train,25A1-19_S002.jpg,19,19,0,0,0
train,25A1-19_S003.jpg,17,19,2,2,0
train,25A1-19_S004.jpg,24,27,3,3,0
train,25A1-19_S005.jpg,20,21,1,1,0
train,25A1-20_S001.jpg,26,27,1,1,0
train,25A1-20_S006.jpg,27,28,1,1,0
train,25A1-20_S007.jpg,27,30,3,3,0
train,25A1-22_S001.jpg,26,29,3,3,0
train,25A1-22_S002.jpg,25,27,2,2,0
train,25A1-22_S003.jpg,22,25,3,3,0
train,25A1-22_S004.jpg,21,25,4,4,0
train,25A1-23_S001.jpg,22,26,4,4,0
train,25A1-23_S002.jpg,26,27,1,1,0
train,25A1-25_S001.jpg,16,18,2,2,0
train,25A1-25_S002.jpg,24,27,3,3,0
train,25A1-25_S003.jpg,26,30,4,4,0
train,25A1-27_S001.jpg,15,18,3,3,0
train,25A1-27_S002.jpg,7,6,-1,1,0
train,25A1-28_S004.jpg,29,29,0,0,0
train,25A1-28_S005.jpg,29,25,-4,4,0
train,25A1-28_S007.jpg,19,14,-5,5,0
train,25A1-29_S008.jpg,30,26,-4,4,0
train,25A1-29_S009.jpg,25,29,4,4,0
train,25A1-29_S010.jpg,24,28,4,4,0
train,25A1-29_S011.jpg,24,21,-3,3,0
train,25A1-29_S012.jpg,27,29,2,2,0
train,25A1-30_S013.jpg,27,29,2,2,0
train,25A1-30_S014.jpg,21,24,3,3,0
train,25A1-30_S015.jpg,23,25,2,2,0
train,25A1-32_S016.jpg,27,26,-1,1,0
train,25A1-33_S023.jpg,31,29,-2,2,0
train,25A1-33_S024.jpg,25,31,6,6,0
val,25A1-18_S002.jpg,24,22,-2,2,0
val,25A1-20_S008.jpg,30,32,2,2,0
val,25A1-20_S009.jpg,32,22,-10,10,0
val,25A1-22_S001.jpg,24,19,-5,5,0
val,25A1-25_S004.jpg,21,24,3,3,0
val,25A1-27_S001.jpg,4,3,-1,1,0
val,25A1-27_S002.jpg,12,11,-1,1,0
val,25A1-27_S003.jpg,8,9,1,1,0
val,25A1-28_S006.jpg,21,25,4,4,0
